Sample Name/Number;Species Name;Image File Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter;Perimeter;Area;Holes;Area+Holes;Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM);ROI (left);ROI (top);ROI (right);ROI (bottom)
#0000_1;Test Sample;2_#0000_1_2021_09_23-15-50-39-612.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;380;811;1782;0;1782;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:50:39;0;112;496;608
#0000_1;Test Sample;1_#0000_1_2021_09_23-15-50-39-670.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;83;165;541;4;545;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:50:39;0;573;496;1069
#0000_1;Test Sample;2_#0000_1_2021_09_23-15-50-39-636.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;97;217;952;5;957;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:50:40;0;455;496;951
#0000_1;Test Sample;1_#0000_1_2021_09_23-15-50-39-697.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;83;165;541;4;545;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:50:40;0;573;496;1069
#0000_1;Test Sample;2_#0000_1_2021_09_23-15-50-40-050.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;469;2923;12673;1590;14263;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:50:40;0;219;496;738
#0000_1;Test Sample;2_#0000_1_2021_09_23-15-50-40-080.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;425;2255;8105;1160;9265;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:50:40;0;262;496;760
#0000_1;Test Sample;2_#0000_1_2021_09_23-15-50-40-107.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;143;707;2632;321;2953;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:50:40;0;387;496;883
#0000_1;Test Sample;2_#0000_1_2021_09_23-15-50-40-139.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;159;808;2355;373;2728;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:50:41;0;377;496;873
#0000_1;Test Sample;2_#0000_1_2021_09_23-15-50-40-168.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;65;258;779;145;924;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:50:41;0;415;496;911
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-44-978.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;83;173;520;0;520;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;574;496;1070
#0000_2;Test Sample;2_#0000_2_2021_09_23-15-50-45-010.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;93;218;650;0;650;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;457;496;953
#0000_2;Test Sample;1_#0000_2_2021_09_23-15-50-44-998.PNG;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;83;173;520;0;520;1000;100;100;3,8;\images\Expo_1000_Ap_3.8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:50:45;0;574;496;1070
